name	relic	sets	primaries	secondaries	done
resistance hero poe	5	offense,potency	offense%,speed,defense%,criticaldamage%,health%,potency%	speed,offense%,criticalchance%,potency%,offense	0,0,0,0,0,0
resistance pilot	3	offense,potency	offense%,speed,defense%,criticaldamage%,protection%,offense%	speed,criticalchance%,offense%,offense,-	0,0,0,0,0,0
resistance trooper	5	offense,health	offense%,speed,defense%,criticaldamage%,protection%,offense%	speed,criticalchance%,offense%,offense,-	0,0,0,0,0,0
rey	9	offense,health	offense%,offense%,defense%,offense%,health%,offense%	speed,health%,offense%,offense,health	0,0,0,0,0,0
rey (jedi training)	7	criticaldamage,health	offense%,speed,defense%,criticaldamage%,health%,potency%	speed,potency%,criticalchance%,health%,health	0,0,0,0,0,0
rey (scavenger)	7	criticaldamage,tenacity	offense%,speed,defense%,criticaldamage%,protection%,tenacity%	speed,tenacity%,offense%,offense,criticalchance%	0,0,0,0,0,0
rose tico	5	speed,health	offense%,speed,defense%,criticaldamage%,protection%,potency%	speed,potency%,criticalchance%,-,-	0,0,0,0,0,0
royal guard	3	defense,defense,defense	offense%,health%,defense%,health%,health%,health%	health%,health,defense%,defense,potency%	0,0,0,0,0,0
sabine wren		criticaldamage,health	offense%,speed,defense%,criticaldamage%,health%,potency%	speed,potency%,offense%,health%,offense	0,0,0,0,0,0
sana starros		speed,health	offense%,speed,defense%,criticaldamage%,protection%,offense%	speed,criticalchance%,offense%,protection%,offense	0,0,0,0,0,0
savage opress		defense,defense,defense	offense%,health%,defense%,health%,health%,health%	speed,health%,offense%,defense%,health	0,0,0,0,0,0
saw gerrera		speed,health	offense%,speed,defense%,health%,health%,health%	speed,health%,health,potency%,-	0,0,0,0,0,0
scarif rebel pathfinder	5	health,health,health	offense%,speed,defense%,protection%,protection%,protection%	speed,health%health,-,-	0,0,0,0,0,0
scout trooper	7	speed,potency	offense%,speed,defense%,criticaldamage%,protection%,potency%	speed,potency%,protection%,offense%,protection	0,0,0,0,0,0
second sister	7	offense,criticalchance	offense%,speed,defense%,criticaldamage%,protection%,offense%	speed,offense%,criticalchance%,potency%,offense	0,0,0,0,0,0
seventh sister	7	speed,health	offense%,speed,defense%,protection%,protection%,tenacity%	speed,potency%,tenacity%,protection%,protection	0,0,0,0,0,0
shaak ti		speed,health	offense%,speed,defense%,health%,health%,health%	speed,tenacity%,health%,offense%,health	0,0,0,0,0,0
shoretrooper		health,health,health	offense%,protection%,defense%,protection%,protection%,protection%	health%,health,protection%,protection,speed	0,0,0,0,0,0
sith assassin	5	speed,health	offense%,speed,defense%,criticaldamage%,protection%,offense%	speed,potency%,offense%,criticalchance%,offense	0,0,0,0,0,0
sith empire trooper	7	defense,defense,defense	offense%,protection%,defense%,protection%,protection%,protection%	protection%,protection,health%,defense%,potency%	0,0,0,0,0,0
sith eternal emperor	9	health,health,health	offense%,health%,defense%,health%,health%,health%	speed,health%,health,protection%,protection	0,0,0,0,0,0
sith marauder	5	criticaldamage,health	offense%,speed,defense%,criticaldamage%,health%,offense%	speed,criticalchance%,offense%,offense,-	0,0,0,0,0,0
sith trooper	7	offense,tenacity	offense%,offense%,defense%,criticaldamage%,protection%,offense%	speed,tenacity%,offense%,offense,criticalchance%	0,0,0,0,0,0
skiff guard (lando calrissian)	7	offense,criticalchance	offense%,speed,defense%,criticaldamage%,health%,offense%	speed,criticalchance%,offense%,health%,offense	0,0,0,0,0,0
snowtrooper		criticaldamage,criticalchance	offense%,speed,defense%,criticaldamage%,protection%,offense%	speed,criticalchance%,offense%,offense,-	0,0,0,0,0,0
starkiller		offense,health	offense%,speed,defense%,criticaldamage%,health%,offense%	speed,health%,health,offense%,tenacity%	0,0,0,0,0,0
stormtrooper		defense,defense,defense	offense%,protection%,defense%,protection%,protection%,protection%	speed,potency%,health%,protection%,offense%	0,0,0,0,0,0
stormtrooper han		defense,defense,defense	offense%,speed,defense%,health%,health%,health%	speed,health%,health,defense%,defense	0,0,0,0,0,0
sun fac		defense,defense,defense	offense%,speed,defense%,protection%,protection%,protection%	speed,tenacity%,potency%,protection%,defense%	0,0,0,0,0,0
supreme leader kylo ren	9	speed,health	offense%,speed,defense%,criticaldamage%,health%,offense%	speed,offense%,offense,potency%,health%	0,0,0,0,0,0
t3-m4		speed,potency	offense%,speed,defense%,protection%,protection%,potency%	speed,potency%,criticalchance%,protection%,-	0,0,0,0,0,0
talia	5	speed,health	offense%,speed,defense%,health%,health%,health%	speed,health%,health,offense%,-	0,0,0,0,0,0
tarfful		defense,defense,defense	offense%,speed,defense%,defense%,health%,defense%	speed,defense%,defense,offense%,health%	0,0,0,0,0,0
taron malicos		offense,health	offense%,offense%,defense%,criticaldamage%,health%,offense%	speed,criticalchance%,offense%,offense,health%	0,0,0,0,0,0
tech		speed,health	offense%,speed,defense%,offense%,health%,potency%	speed,tenacity%,health%,potency%,-	0,0,0,0,0,0
teebo		potency,potency,potency	offense%,speed,defense%,protection%,protection%,potency%	speed,potency%,protection%,-,-	0,0,0,0,0,0
the armorer		speed,health	offense%,speed,defense%,protection%,protection%,protection%	speed,tenacity%,protection%,protection,-	0,0,0,0,0,0
the mandalorian		criticaldamage,health	offense%,speed,defense%,criticaldamage%,protection%,offense%	speed,criticalchance%,offense%,offense,-	0,0,0,0,0,0
the mandalorian (beskar armor)	7	offense,health	offense%,speed,defense%,offense%,protection%,offense%	speed,offense%,offense,tenacity%,potency%	0,0,0,0,0,0
third sister	7	offense,health	offense%,health%,defense%,criticaldamage%,health%,health%	speed,offense%,health%,criticalchance%,-	0,0,0,0,0,0
threepio & chewie	7	offense,tenacity	offense%,offense%,defense%,criticaldamage%,protection%,offense%	speed,tenacity%,offense%,criticalchance%,potency%	0,0,0,0,0,0
tie fighter pilot	7	speed,potency	offense%,speed,defense%,criticaldamage%,protection%,offense%	speed,potency%,criticalchance%,offense%,offense	0,0,0,0,0,0
tusken chieftain		speed,health	offense%,speed,defense%,protection%,protection%,protection%	speed,protection%,defense%,tenacity%,health%	0,0,0,0,0,0
tusken raider		offense,tenacity	offense%,speed,defense%,criticaldamage%,protection%,offense%	speed,offense%,offense,tenacity%,criticalchance%	0,0,0,0,0,0
tusken shaman	4	speed,potency	offense%,speed,defense%,protection%,protection%,potency%	speed,potency%,protection%,protection,-	0,0,0,0,0,0
tusken warrior		offense,health	offense%,speed,defense%,criticaldamage%,protection%,offense%	speed,offense%,offense,criticalchance%,-	0,0,0,0,0,0
ugnaught		speed,potency	offense%,speed,defense%,criticaldamage%,protection%,potency%	speed,criticalchance%,potency%,offense%,-	0,0,0,0,0,0
urorrur'r'r	3	speed,health	offense%,speed,defense%,protection%,protection%,protection%	speed,protection%,protection,-,-	0,0,0,0,0,0
vandor chewbacca	3	health,health,health	offense%,health%,defense%,health%,health%,health%	speed,tenacity%,health%,health,criticalchance%	0,0,0,0,0,0
veteran smuggler chewbacca		criticaldamage,health	offense%,speed,defense%,criticaldamage%,protection%,offense%	speed,tenacity%,potency%,offense%,criticalchance%	0,0,0,0,0,0
veteran smuggler han solo	7	criticaldamage,health	offense%,speed,defense%,criticaldamage%,protection%,potency%	speed,tenacity%,potency%,offense%,criticalchance%	0,0,0,0,0,0
visas marr	7	speed,health	offense%,speed%,defense%,health%,health%,health%	speed,tenacity%,health%,health,-	0,0,0,0,0,0
wampa	3	health,health,tenacity	offense%,health%,defense%,criticaldamage%,health%,tenacity%	speed,tenacity%,health%,offense%,health	0,0,0,0,0,0
wat tambor		speed,health	offense%,speed,defense%,health%,health%,health%	speed,health%,health,tenacity%,potency%	0,0,0,0,0,0
wedge antilles	7	criticaldamage,health	offense%,speed,defense%,criticaldamage%,protection%,offense%	speed,offense%,offense,criticalchance%,-	0,0,0,0,0,0
wicket	3	criticaldamage,health	offense%,speed,defense%,criticaldamage%,protection%,offense%	speed,offense%,offense,criticalchance%,-	0,0,0,0,0,0
wrecker		defense,defense,defense	offense%,speed%,defense%,protection%,protection%,protection%	speed,protection%,protection,potency%,health%	0,0,0,0,0,0
young han solo		offense,tenacity	offense%,speed,defense%,criticaldamage%,protection%,offense%	speed,criticalchance%,offense%,tenacity%,offense	0,0,0,0,0,0
young lando calrissian	7	offense,health	offense%,speed,defense%,criticaldamage%,protection%,offense%	speed,criticalchance%,offense%,tenacity%,offense	0,0,0,0,0,0
zaalbar		defense,defense,defense	offense%,speed%,defense%,protection%,protection%,protection%	speed,potency%,criticalchance%,protection%,tenacity%	0,0,0,0,0,0
zam wesell		speed,potency	offense%,speed,defense%,protection%,protection%,potency%	speed,potency%,protection%,protection,offense%	0,0,0,0,0,0
zorii bliss		speed,health	offense%,speed,defense%,criticaldamage%,protection%,offense%	speed,criticalchance%,protection%,offense%,offense	0,0,0,0,0,0
